mean_auc,std_auc,rank_test_score,clf__class_weight,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.8518733880839232,0.0037060807790950216,178,balanced,entropy,9,108
0.8517847138732261,0.003531521512983223,180,balanced,gini,9,98
0.8517357284534455,0.0037126245149027457,181,,log_loss,9,14
0.8517357284534455,0.0037126245149027457,181,,entropy,9,14
0.8517224713910154,0.0030966987189064974,183,,log_loss,13,14
0.8517224713910154,0.0030966987189064974,183,,entropy,13,14
0.8517151594845769,0.0018628640633660428,185,balanced,entropy,15,34
0.8517151594845769,0.0018628640633660428,185,balanced,log_loss,15,34
0.8516115729159452,0.0029424305592548974,187,,gini,9,34
0.8515100831382092,0.002842404738681012,188,balanced,log_loss,13,14
0.8515100831382092,0.002842404738681012,188,balanced,entropy,13,14
0.8514454532807691,0.002406531680153432,190,balanced,gini,15,34
0.8513295503061578,0.00300793895375347,191,,gini,9,14
0.8513063384971489,0.0034992740474657333,192,,entropy,9,98
0.8513063384971489,0.0034992740474657333,192,,log_loss,9,98
0.8512122710468895,0.002766124090503455,194,,gini,9,24
0.8511749694220978,0.00296554052887388,195,,gini,9,58
0.8510783509951463,0.0028934240347045412,196,,gini,9,78
0.8510735913144453,0.003857944384868793,197,balanced,gini,9,108
0.8510252120257966,0.0035747820219125255,198,balanced,gini,13,14
0.8510120235278933,0.002819376982629302,199,,gini,9,68
0.851004772725496,0.002866264067166485,200,,gini,9,88
0.850934611246133,0.0018102305056378473,201,,entropy,15,24
0.850934611246133,0.0018102305056378473,201,,log_loss,15,24
0.850882946984185,0.002917424301911666,203,,gini,9,98
0.8508817164387018,0.002301303410053333,204,,gini,15,24
0.8502414909117204,0.0037050325827033,205,,entropy,9,108
0.8502414909117204,0.0037050325827033,205,,log_loss,9,108
0.8501919391442826,0.0034329450669114926,207,,gini,9,108
0.8501368709877901,0.0019764032285820906,208,balanced,log_loss,15,24
0.8501368709877901,0.0019764032285820906,208,balanced,entropy,15,24
0.8497192294740816,0.002249821520619789,210,balanced,gini,15,24
0.8482090748930947,0.002152649538472023,211,,gini,15,14
0.8467199601210067,0.0024304011395656646,212,,entropy,15,14
0.8467199601210067,0.0024304011395656646,212,,log_loss,15,14
0.8465835642284365,0.0027304331875852112,214,balanced,log_loss,15,14
0.8465835642284365,0.0027304331875852112,214,balanced,entropy,15,14
0.8452924872012086,0.0028711498689546117,216,balanced,gini,15,14
